1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
1,,,,,,,,,1,7,1,,,,,,,,,,,,,,,16,,,1,
1,,,,,,,,,1,,1,,,,,,,,,,,,,,,16,,,1,
1,,,,4,1,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,199,,1,
1,,,,1,1,1,1,,1,,1,,,,,,,,,,,1,1,1,1,1,,,1,
1,,,1,1,1,1,1,16,1,,1,,,,,,,,,,,,,,,1,,,1,
1,,,,,199,199,1,15,1,,1,1,1,1,1,1,1,1,,2,,,,,,1,,,1,
1,199,,,,,,1,15,1,15,,,,,,,,1,1,1,1,1,15,,,1,,,1,
1,199,,,,,,1,15,1,15,,,,,,,,,,,16,1,,,,1,,,1,
1,1,1,1,1,,,1,15,1,1,1,1,1,1,1,,,,,,,,,,,1,,,1,
1,199,,,,16,16,1,15,,16,,,5,,1,,,,,,,,,,,1,,199,1,
1,,,,,,,1,,,16,,4,5,,1,,,,,,,4,,,,1,,,1,
1,,,,,,,1,,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,,,1,
1,,,,,,,1,,1,199,,,,,,,,,,,,,,,16,,15,15,1,
1,,,,,15,15,1,,1,199,,,,,,,,,,,,,,,16,,15,15,1,
1,,,,,199,15,1,199,1,199,,,,199,,,,,199,,,,,,16,,15,15,1,199
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,199,199,199,,,,199,,,,,,199,,,,,,,199,,,,,,,,,
