1,1,1,1,1,106,107,108,109,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,199,,,4,,,,,1,114,,,,18,18,1,,,,,,,,,,,19,,1
1,198,,205,1,1,1,1,,1,,16,4,,18,18,1,,,,,,,,,,,19,,1
1,105,,204,1,206,207,208,209,1,,,1,1,118,,1,7,,,,,,,,,,19,,1
1,104,,,1,,1,1,1,1,,,1,126,,,1,1,1,1,1,1,1,1,1,1,1,1,,1
1,1,,1,1,,,,,1,,,1,,,119,1,12,,,9,,,,10,,19,17,,1
1,,,,1,1,1,1,,1,,,1,,120,127,1,,,,9,,,,,,19,17,,1
1,,1,,1,,,,212,1,,1,1,,,128,1,,,,9,,,,,,19,17,,1
1,,,,1,,1,1,1,1,,115,1,121,,,1,,,,9,,,,,,19,17,,1
1,1,,1,1,,,213,,1,,,1,129,122,,1,,,,9,,,,,,19,17,,1
1,,,,1,1,1,1,,1,,,1,130,,,1,,264,1,1,1,1,1,1,1,1,1,1,1
1,,1,,1,,210,,,1,,,1,,,123,1,,263,262,261,260,259,258,257,,254,,,1
1,,,,1,,1,1,1,1,1,,1,,124,132,1,1,1,1,1,1,1,1,1,1,1,1,,1
1,1,,1,1,211,,,,1,116,,1,,,133,1,134,135,136,137,138,139,140,141,142,143,144,,1
1,2,203,202,1,1,1,1,,1,,,1,125,,16,,,245,246,247,248,249,250,251,252,253,256,,1
1,201,202,203,1,110,111,112,,4,,15,1,131,16,16,4,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,145,146,147,148,149,150,151,152,153,154,155,156,1
,,,,,,,,113,,,,,,,,,,164,163,162,161,160,159,158,157,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,102,103,,,,,,,,,,,,,,,,,,,,,,,,,,
