1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,,,,1,104,104,104,104,104,,407,,,507,,,,,,506,505,504,502,501,,,,,1
1,2,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1
1,1,,,1,,,24,24,24,,4,,,1,104,104,104,104,104,104,104,104,104,104,104,1,,1,1
1,1,,,1,26,26,1,1,1,1,1,1,1,,,,,,,,,,,,,1,,,1
1,1,80,,1,,,,,,,,,,,,,,,,,,,,,,1,,,1
1,1,,,1,103,25,25,25,25,,,,,,,,,,,,,,,,7,1,503,,1
1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
1,1,,,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,,1
1,1,,,1,,,,,,,,,,,,,,,,52,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,51,,,,,,,,,1
1,1,,,1,,,,,,,,,,,,,,,,50,,,,,,,,1,1
1,1,,,1,,,,,,,,,,,30,,,,,53,,,,,,,,,1
1,1,,,1,,,,,,40,,,,,,,406,405,404,402,401,,,,,,403,,1
1,1,,81,1,,,,,,41,,,,,31,,,,,414,,,32,,,,,,1
1,1,,,,,1,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,1,82,4,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,43,,,,,,,,,,,,,33,,,,,,
