197,1,1,198,1,1,1,198,1,1,198,1,198,1,1,1,198,1,198,1,1,198,198,1,1,1,1,198,1,199,,,
197,,,,,201,,,,,202,,,,203,,,226,,,,204,,,,,,,,199,,,
197,,,,,201,,,,,202,,,,203,,,226,,,,204,,,,,,,,199,,,
197,2,,196,,101,,196,,,102,,196,,103,,401,226,,,402,104,501,,121,,502,221,206,199,,106,
197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,206,199,,,
1,,,,,,207,,,,,,,,,,,,205,,,198,198,198,198,,,,,199,,,
1,,,196,,,107,,196,504,403,514,225,224,,,,223,205,,,,,,503,,222,,4,199,,,
197,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,199,,,
197,,1,,,18,18,,1,16,16,18,18,,1,113,,4,17,,,214,217,,218,215,515,,213,199,,117,118
197,,1,,1,1,197,,1,,507,1,197,,1,197,,1,17,,,214,,,,215,515,,,199,,,
197,,1,,,1,,,1,,507,1,,,1,111,,1,17,,,214,,,,215,515,,,199,,,
197,,1,,,1,,199,1,,507,1,,199,1,,211,1,196,196,196,196,196,196,196,196,196,196,216,199,,,
197,,1,1,,1,,,1,,507,1,,,1,,1,1,,,513,512,410,,511,,510,,509,199,,,
197,,1,,506,1,197,,1,,507,1,197,16,1,508,,1,,,513,512,,,511,,510,,509,199,,,
197,,1,,1,1,80,,1,,507,1,,208,1,1,,1,,,513,512,,,511,,510,,509,199,,,
197,4,,212,81,1,,,,15,15,1,,,,209,210,1,7,,513,512,409,412,511,411,510,,509,199,,,
197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,196,196,196,196,196,196,196,196,196,196,196,1,,,
,,,112,406,,,,,,407,,125,124,,408,,123,105,413,,,,,,,,415,,,,,
,,,,,,,,,404,,414,,108,,109,110,126,,,,114,,,,115,122,,116,,,,
